,dataset,run,accuracy
135,AllGestureWiimoteZ,15,0.7042857142857143
136,AllGestureWiimoteZ,16,0.7071428571428572
137,AllGestureWiimoteZ,17,0.7028571428571428
138,AllGestureWiimoteZ,18,0.7085714285714285
139,AllGestureWiimoteZ,19,0.7085714285714285
140,AllGestureWiimoteZ,20,0.7014285714285714
141,AllGestureWiimoteZ,21,0.7028571428571428
142,AllGestureWiimoteZ,22,0.7142857142857143
143,AllGestureWiimoteZ,23,0.7171428571428572
144,AllGestureWiimoteZ,24,0.7
145,AllGestureWiimoteZ,25,0.7
146,AllGestureWiimoteZ,26,0.7
147,AllGestureWiimoteZ,27,0.6971428571428572
148,AllGestureWiimoteZ,28,0.6985714285714286
149,AllGestureWiimoteZ,29,0.7128571428571429
150,ArrowHead,0,0.8057142857142857
151,ArrowHead,1,0.8114285714285714
152,ArrowHead,2,0.8057142857142857
153,ArrowHead,3,0.8114285714285714
154,ArrowHead,4,0.8114285714285714
155,ArrowHead,5,0.8228571428571428
156,ArrowHead,6,0.8114285714285714
157,ArrowHead,7,0.8057142857142857
158,ArrowHead,8,0.8171428571428572
159,ArrowHead,9,0.8171428571428572
160,ArrowHead,10,0.8057142857142857
161,ArrowHead,11,0.8114285714285714
162,ArrowHead,12,0.8057142857142857
163,ArrowHead,13,0.8171428571428572
164,ArrowHead,14,0.8
165,ArrowHead,15,0.8
166,ArrowHead,16,0.8
167,ArrowHead,17,0.8228571428571428
168,ArrowHead,18,0.8057142857142857
169,ArrowHead,19,0.7942857142857143
170,ArrowHead,20,0.8057142857142857
171,ArrowHead,21,0.8057142857142857
172,ArrowHead,22,0.8057142857142857
173,ArrowHead,23,0.8057142857142857
174,ArrowHead,24,0.8228571428571428
175,ArrowHead,25,0.8171428571428572
176,ArrowHead,26,0.8114285714285714
177,ArrowHead,27,0.8171428571428572
178,ArrowHead,28,0.8171428571428572
179,ArrowHead,29,0.8057142857142857
180,BME,0,1.0
181,BME,1,1.0
182,BME,2,1.0
183,BME,3,1.0
184,BME,4,1.0
185,BME,5,1.0
186,BME,6,1.0
187,BME,7,1.0
188,BME,8,1.0
189,BME,9,1.0
190,BME,10,1.0
191,BME,11,1.0
192,BME,12,1.0
193,BME,13,1.0
194,BME,14,1.0
195,BME,15,1.0
196,BME,16,1.0
197,BME,17,1.0
198,BME,18,1.0
199,BME,19,1.0
200,BME,20,1.0
201,BME,21,1.0
202,BME,22,1.0
203,BME,23,1.0
204,BME,24,1.0
205,BME,25,1.0
206,BME,26,1.0
207,BME,27,1.0
208,BME,28,1.0
209,BME,29,1.0
210,Beef,0,0.7666666666666667
211,Beef,1,0.8333333333333334
212,Beef,2,0.8
213,Beef,3,0.8
214,Beef,4,0.8
215,Beef,5,0.8
216,Beef,6,0.8
217,Beef,7,0.8
218,Beef,8,0.8
219,Beef,9,0.8
220,Beef,10,0.8
221,Beef,11,0.8333333333333334
222,Beef,12,0.8333333333333334
223,Beef,13,0.8
224,Beef,14,0.8
225,Beef,15,0.8
226,Beef,16,0.8
227,Beef,17,0.8
228,Beef,18,0.8333333333333334
229,Beef,19,0.8
230,Beef,20,0.8
231,Beef,21,0.8
232,Beef,22,0.8333333333333334
233,Beef,23,0.8
234,Beef,24,0.8333333333333334
235,Beef,25,0.8
236,Beef,26,0.8
237,Beef,27,0.8333333333333334
238,Beef,28,0.8
239,Beef,29,0.8
240,BeetleFly,0,0.9
241,BeetleFly,1,0.9
242,BeetleFly,2,0.9
243,BeetleFly,3,0.9
244,BeetleFly,4,0.9
245,BeetleFly,5,0.9
246,BeetleFly,6,0.9
247,BeetleFly,7,0.9
248,BeetleFly,8,0.9
249,BeetleFly,9,0.9
250,BeetleFly,10,0.9
251,BeetleFly,11,0.9
252,BeetleFly,12,0.9
253,BeetleFly,13,0.9
254,BeetleFly,14,0.9
255,BeetleFly,15,0.9
256,BeetleFly,16,0.9
257,BeetleFly,17,0.9
258,BeetleFly,18,0.9
259,BeetleFly,19,0.9
260,BeetleFly,20,0.9
261,BeetleFly,21,0.9
262,BeetleFly,22,0.9
263,BeetleFly,23,0.9
264,BeetleFly,24,0.9
265,BeetleFly,25,0.9
266,BeetleFly,26,0.9
267,BeetleFly,27,0.9
268,BeetleFly,28,0.9
269,BeetleFly,29,0.9
270,BirdChicken,0,0.9
271,BirdChicken,1,0.9
272,BirdChicken,2,0.9
273,BirdChicken,3,0.9
274,BirdChicken,4,0.9
275,BirdChicken,5,0.9
276,BirdChicken,6,0.9
277,BirdChicken,7,0.9
278,BirdChicken,8,0.9
279,BirdChicken,9,0.9
280,BirdChicken,10,0.9
281,BirdChicken,11,0.9
282,BirdChicken,12,0.9
283,BirdChicken,13,0.9
284,BirdChicken,14,0.9
285,BirdChicken,15,0.9
286,BirdChicken,16,0.9
287,BirdChicken,17,0.9
288,BirdChicken,18,0.9
289,BirdChicken,19,0.9
290,BirdChicken,20,0.9
291,BirdChicken,21,0.9
292,BirdChicken,22,0.9
293,BirdChicken,23,0.9
294,BirdChicken,24,0.9
295,BirdChicken,25,0.9
296,BirdChicken,26,0.9
297,BirdChicken,27,0.9
298,BirdChicken,28,0.9
299,BirdChicken,29,0.9
300,CBF,0,1.0
301,CBF,1,0.9988888888888889
302,CBF,2,1.0
303,CBF,3,1.0
304,CBF,4,1.0
305,CBF,5,1.0
306,CBF,6,1.0
307,CBF,7,1.0
308,CBF,8,1.0
309,CBF,9,1.0
310,CBF,10,1.0
311,CBF,11,1.0
312,CBF,12,1.0
313,CBF,13,1.0
314,CBF,14,1.0
315,CBF,15,1.0
316,CBF,16,1.0
317,CBF,17,1.0
318,CBF,18,1.0
319,CBF,19,1.0
320,CBF,20,1.0
321,CBF,21,1.0
322,CBF,22,0.9988888888888889
323,CBF,23,1.0
324,CBF,24,1.0
325,CBF,25,1.0
326,CBF,26,1.0
327,CBF,27,1.0
328,CBF,28,1.0
329,CBF,29,1.0
330,Car,0,0.9
331,Car,1,0.8833333333333333
332,Car,2,0.9
333,Car,3,0.9
334,Car,4,0.9
335,Car,5,0.8833333333333333
336,Car,6,0.9
337,Car,7,0.8833333333333333
338,Car,8,0.9166666666666666
339,Car,9,0.9
340,Car,10,0.9
341,Car,11,0.9
342,Car,12,0.9166666666666666
343,Car,13,0.8833333333333333
344,Car,14,0.8833333333333333
345,Car,15,0.9166666666666666
346,Car,16,0.9
347,Car,17,0.9
348,Car,18,0.9
349,Car,19,0.9
350,Car,20,0.9
351,Car,21,0.9
352,Car,22,0.9166666666666666
353,Car,23,0.9166666666666666
354,Car,24,0.9
355,Car,25,0.9
356,Car,26,0.8833333333333333
357,Car,27,0.9166666666666666
358,Car,28,0.9
359,Car,29,0.9166666666666666
360,Chinatown,0,0.9825072886297376
361,Chinatown,1,0.9825072886297376
362,Chinatown,2,0.9825072886297376
363,Chinatown,3,0.9825072886297376
364,Chinatown,4,0.9854227405247813
365,Chinatown,5,0.9825072886297376
366,Chinatown,6,0.9825072886297376
367,Chinatown,7,0.9825072886297376
368,Chinatown,8,0.9825072886297376
369,Chinatown,9,0.9825072886297376
370,Chinatown,10,0.9825072886297376
371,Chinatown,11,0.9825072886297376
372,Chinatown,12,0.9825072886297376
373,Chinatown,13,0.9825072886297376
374,Chinatown,14,0.9825072886297376
375,Chinatown,15,0.9825072886297376
376,Chinatown,16,0.9825072886297376
377,Chinatown,17,0.9825072886297376
378,Chinatown,18,0.9825072886297376
379,Chinatown,19,0.9825072886297376
380,Chinatown,20,0.9825072886297376
381,Chinatown,21,0.9825072886297376
382,Chinatown,22,0.9825072886297376
383,Chinatown,23,0.9825072886297376
384,Chinatown,24,0.9825072886297376
385,Chinatown,25,0.9795918367346939
386,Chinatown,26,0.9825072886297376
387,Chinatown,27,0.9825072886297376
388,Chinatown,28,0.9825072886297376
389,Chinatown,29,0.9825072886297376
390,ChlorineConcentration,0,0.7919270833333333
391,ChlorineConcentration,1,0.81328125
392,ChlorineConcentration,2,0.815625
393,ChlorineConcentration,3,0.8078125
394,ChlorineConcentration,4,0.81015625
395,ChlorineConcentration,5,0.8083333333333333
396,ChlorineConcentration,6,0.8138020833333334
397,ChlorineConcentration,7,0.8174479166666667
398,ChlorineConcentration,8,0.8075520833333333
399,ChlorineConcentration,9,0.8130208333333333
400,ChlorineConcentration,10,0.8111979166666666
401,ChlorineConcentration,11,0.8135416666666667
402,ChlorineConcentration,12,0.8190104166666666
403,ChlorineConcentration,13,0.8049479166666667
404,ChlorineConcentration,14,0.8114583333333333
405,ChlorineConcentration,15,0.8197916666666667
406,ChlorineConcentration,16,0.825
407,ChlorineConcentration,17,0.8098958333333334
408,ChlorineConcentration,18,0.8171875
409,ChlorineConcentration,19,0.815625
410,ChlorineConcentration,20,0.8125
411,ChlorineConcentration,21,0.79921875
412,ChlorineConcentration,22,0.8080729166666667
413,ChlorineConcentration,23,0.8325520833333333
414,ChlorineConcentration,24,0.8122395833333333
415,ChlorineConcentration,25,0.8098958333333334
416,ChlorineConcentration,26,0.81015625
417,ChlorineConcentration,27,0.79609375
418,ChlorineConcentration,28,0.8046875
419,ChlorineConcentration,29,0.8169270833333333
420,CinCECGTorso,0,0.836231884057971
421,CinCECGTorso,1,0.8282608695652174
422,CinCECGTorso,2,0.8253623188405798
423,CinCECGTorso,3,0.8297101449275363
424,CinCECGTorso,4,0.8434782608695652
425,CinCECGTorso,5,0.8355072463768116
426,CinCECGTorso,6,0.8369565217391305
427,CinCECGTorso,7,0.8347826086956521
428,CinCECGTorso,8,0.827536231884058
429,CinCECGTorso,9,0.8318840579710145
430,CinCECGTorso,10,0.8391304347826087
431,CinCECGTorso,11,0.8297101449275363
432,CinCECGTorso,12,0.8260869565217391
433,CinCECGTorso,13,0.836231884057971
434,CinCECGTorso,14,0.8253623188405798
435,CinCECGTorso,15,0.8355072463768116
436,CinCECGTorso,16,0.8405797101449275
437,CinCECGTorso,17,0.841304347826087
438,CinCECGTorso,18,0.8304347826086956
439,CinCECGTorso,19,0.836231884057971
440,CinCECGTorso,20,0.8420289855072464
441,CinCECGTorso,21,0.8297101449275363
442,CinCECGTorso,22,0.836231884057971
443,CinCECGTorso,23,0.8434782608695652
444,CinCECGTorso,24,0.8297101449275363
445,CinCECGTorso,25,0.8318840579710145
446,CinCECGTorso,26,0.8369565217391305
447,CinCECGTorso,27,0.8398550724637681
448,CinCECGTorso,28,0.8311594202898551
449,CinCECGTorso,29,0.8318840579710145
450,Coffee,0,1.0
451,Coffee,1,1.0
452,Coffee,2,1.0
453,Coffee,3,1.0
454,Coffee,4,1.0
455,Coffee,5,1.0
456,Coffee,6,1.0
457,Coffee,7,1.0
458,Coffee,8,1.0
459,Coffee,9,1.0
460,Coffee,10,1.0
461,Coffee,11,1.0
462,Coffee,12,1.0
463,Coffee,13,1.0
464,Coffee,14,1.0
465,Coffee,15,1.0
466,Coffee,16,1.0
467,Coffee,17,1.0
468,Coffee,18,1.0
469,Coffee,19,1.0
470,Coffee,20,1.0
471,Coffee,21,1.0
472,Coffee,22,1.0
473,Coffee,23,1.0
474,Coffee,24,1.0
475,Coffee,25,1.0
476,Coffee,26,1.0
477,Coffee,27,1.0
478,Coffee,28,1.0
479,Coffee,29,1.0
480,Computers,0,0.784
481,Computers,1,0.772
482,Computers,2,0.784
483,Computers,3,0.76
484,Computers,4,0.772
485,Computers,5,0.768
486,Computers,6,0.768
487,Computers,7,0.756
488,Computers,8,0.768
489,Computers,9,0.76
490,Computers,10,0.776
491,Computers,11,0.768
492,Computers,12,0.776
493,Computers,13,0.76
494,Computers,14,0.772
495,Computers,15,0.772
496,Computers,16,0.772
497,Computers,17,0.78
498,Computers,18,0.776
499,Computers,19,0.772
500,Computers,20,0.776
501,Computers,21,0.776
502,Computers,22,0.784
503,Computers,23,0.772
504,Computers,24,0.768
505,Computers,25,0.776
506,Computers,26,0.772
507,Computers,27,0.784
508,Computers,28,0.768
509,Computers,29,0.768
510,CricketX,0,0.8153846153846154
511,CricketX,1,0.8179487179487179
512,CricketX,2,0.8128205128205128
513,CricketX,3,0.8128205128205128
514,CricketX,4,0.8179487179487179
515,CricketX,5,0.8205128205128205
516,CricketX,6,0.8179487179487179
517,CricketX,7,0.8205128205128205
518,CricketX,8,0.8153846153846154
519,CricketX,9,0.8256410256410256
520,CricketX,10,0.823076923076923
521,CricketX,11,0.823076923076923
522,CricketX,12,0.823076923076923
523,CricketX,13,0.8256410256410256
524,CricketX,14,0.8179487179487179
525,CricketX,15,0.8205128205128205
526,CricketX,16,0.8179487179487179
527,CricketX,17,0.8307692307692308
528,CricketX,18,0.823076923076923
529,CricketX,19,0.8205128205128205
530,CricketX,20,0.8256410256410256
531,CricketX,21,0.8179487179487179
532,CricketX,22,0.8282051282051283
533,CricketX,23,0.823076923076923
534,CricketX,24,0.823076923076923
535,CricketX,25,0.823076923076923
536,CricketX,26,0.8153846153846154
537,CricketX,27,0.8205128205128205
538,CricketX,28,0.8179487179487179
539,CricketX,29,0.8282051282051283
540,CricketY,0,0.8487179487179487
541,CricketY,1,0.8512820512820513
542,CricketY,2,0.8538461538461538
543,CricketY,3,0.8435897435897436
544,CricketY,4,0.8435897435897436
545,CricketY,5,0.8512820512820513
546,CricketY,6,0.8538461538461538
547,CricketY,7,0.8564102564102564
548,CricketY,8,0.8512820512820513
549,CricketY,9,0.8564102564102564
550,CricketY,10,0.8589743589743589
551,CricketY,11,0.8538461538461538
552,CricketY,12,0.8487179487179487
553,CricketY,13,0.8461538461538461
554,CricketY,14,0.8461538461538461
555,CricketY,15,0.8564102564102564
556,CricketY,16,0.8538461538461538
557,CricketY,17,0.8538461538461538
558,CricketY,18,0.8512820512820513
559,CricketY,19,0.8512820512820513
560,CricketY,20,0.8538461538461538
561,CricketY,21,0.8538461538461538
562,CricketY,22,0.8512820512820513
563,CricketY,23,0.8538461538461538
564,CricketY,24,0.8538461538461538
565,CricketY,25,0.8538461538461538
566,CricketY,26,0.8564102564102564
567,CricketY,27,0.8487179487179487
568,CricketY,28,0.8435897435897436
569,CricketY,29,0.8615384615384616
570,CricketZ,0,0.8564102564102564
571,CricketZ,1,0.8589743589743589
572,CricketZ,2,0.8538461538461538
573,CricketZ,3,0.8538461538461538
574,CricketZ,4,0.8461538461538461
575,CricketZ,5,0.8615384615384616
576,CricketZ,6,0.8487179487179487
577,CricketZ,7,0.8641025641025641
578,CricketZ,8,0.8538461538461538
579,CricketZ,9,0.8589743589743589
580,CricketZ,10,0.8435897435897436
581,CricketZ,11,0.8487179487179487
582,CricketZ,12,0.8435897435897436
583,CricketZ,13,0.8589743589743589
584,CricketZ,14,0.8564102564102564
585,CricketZ,15,0.8538461538461538
586,CricketZ,16,0.8564102564102564
587,CricketZ,17,0.8564102564102564
588,CricketZ,18,0.8589743589743589
589,CricketZ,19,0.8538461538461538
590,CricketZ,20,0.8461538461538461
591,CricketZ,21,0.8564102564102564
592,CricketZ,22,0.8512820512820513
593,CricketZ,23,0.8589743589743589
594,CricketZ,24,0.8615384615384616
595,CricketZ,25,0.8538461538461538
596,CricketZ,26,0.8512820512820513
597,CricketZ,27,0.8564102564102564
598,CricketZ,28,0.8615384615384616
599,CricketZ,29,0.8487179487179487
600,Crop,0,0.778154761904762
601,Crop,1,0.7783928571428571
602,Crop,2,0.7795833333333333
603,Crop,3,0.7807738095238095
604,Crop,4,0.7790476190476191
605,Crop,5,0.7780357142857143
606,Crop,6,0.7789285714285714
607,Crop,7,0.775952380952381
608,Crop,8,0.7757142857142857
609,Crop,9,0.7776190476190477
610,Crop,10,0.7794642857142857
611,Crop,11,0.77875
612,Crop,12,0.7806547619047619
613,Crop,13,0.7771428571428571
614,Crop,14,0.778452380952381
615,Crop,15,0.7803571428571429
616,Crop,16,0.7769642857142857
617,Crop,17,0.7804166666666666
618,Crop,18,0.781547619047619
619,Crop,19,0.7760714285714285
620,Crop,20,0.7792857142857142
621,Crop,21,0.7769642857142857
622,Crop,22,0.7794047619047619
