,dataset,threshold,accuracy_mean,accuracy_std,mean_features_kept,mean_fraction_kept,mean_train_time
299,MiddlePhalanxTW,threshold=0.01,0.5584415584415584,,9654.0,0.4827,0.08922510000411421
300,MixedShapesRegularTrain,no_selection (baseline),0.9694845360824742,,20000.0,1.0,0.16041750001022592
301,MixedShapesRegularTrain,threshold=0.0,0.9694845360824742,,19760.0,0.988,0.19066429999656975
302,MixedShapesRegularTrain,threshold=0.001,0.9694845360824742,,17541.0,0.87705,0.1894719999982044
303,MixedShapesRegularTrain,threshold=0.01,0.9595876288659794,,10266.0,0.5133,0.15221420000307262
304,MixedShapesSmallTrain,no_selection (baseline),0.9389690721649484,,20000.0,1.0,0.02415459998883307
305,MixedShapesSmallTrain,threshold=0.0,0.9389690721649484,,19580.0,0.979,0.025835300039034337
306,MixedShapesSmallTrain,threshold=0.001,0.9406185567010309,,17351.0,0.86755,0.023080900020431727
307,MixedShapesSmallTrain,threshold=0.01,0.9183505154639175,,10194.0,0.5097,0.01445900002727285
308,MoteStrain,no_selection (baseline),0.9097444089456869,,20000.0,1.0,0.006643200002145022
309,MoteStrain,threshold=0.0,0.9097444089456869,,20000.0,1.0,0.006761199969332665
310,MoteStrain,threshold=0.001,0.9089456869009584,,19941.0,0.99705,0.006572799989953637
311,MoteStrain,threshold=0.01,0.9249201277955271,,12552.0,0.6276,0.0048405000125057995
312,NonInvasiveFetalECGThorax1,no_selection (baseline),0.9587786259541985,,20000.0,1.0,1.0053709999774583
313,NonInvasiveFetalECGThorax1,threshold=0.0,0.9587786259541985,,19969.0,0.99845,1.018695699982345
314,NonInvasiveFetalECGThorax1,threshold=0.001,0.9516539440203562,,13000.0,0.65,0.8204382000258192
315,NonInvasiveFetalECGThorax1,threshold=0.01,0.9455470737913486,,9996.0,0.4998,0.7788370999624021
316,NonInvasiveFetalECGThorax2,no_selection (baseline),0.9694656488549618,,20000.0,1.0,0.9298131999676116
317,NonInvasiveFetalECGThorax2,threshold=0.0,0.9694656488549618,,19984.0,0.9992,1.0328100000042468
318,NonInvasiveFetalECGThorax2,threshold=0.001,0.9633587786259542,,13344.0,0.6672,0.8129749000072479
319,NonInvasiveFetalECGThorax2,threshold=0.01,0.9516539440203562,,10012.0,0.5006,0.7298584999516606
320,OSULeaf,no_selection (baseline),0.9421487603305785,,20000.0,1.0,0.06099209998501465
321,OSULeaf,threshold=0.0,0.9421487603305785,,19925.0,0.99625,0.05971579998731613
322,OSULeaf,threshold=0.001,0.9421487603305785,,17844.0,0.8922,0.05509330000495538
323,OSULeaf,threshold=0.01,0.8884297520661157,,10584.0,0.5292,0.033348799974191934
324,OliveOil,no_selection (baseline),0.9,,20000.0,1.0,0.008134899951983243
325,OliveOil,threshold=0.0,0.9,,19253.0,0.96265,0.010093699966091663
326,OliveOil,threshold=0.001,0.8666666666666667,,3843.0,0.19215,0.0032648000051267445
327,OliveOil,threshold=0.01,0.7666666666666667,,386.0,0.0193,0.0023347000242210925
328,PLAID,no_selection (baseline),0.8081936685288641,,20000.0,1.0,0.18203650001669303
329,PLAID,threshold=0.0,0.8081936685288641,,19838.0,0.9919,0.21983890002593398
330,PLAID,threshold=0.001,0.8026070763500931,,18337.0,0.91685,0.19873300002655014
331,PLAID,threshold=0.01,0.6014897579143389,,13021.0,0.65105,0.16883969999616966
332,PhalangesOutlinesCorrect,no_selection (baseline),0.8321678321678322,,20000.0,1.0,0.9596332999644801
333,PhalangesOutlinesCorrect,threshold=0.0,0.8321678321678322,,19979.0,0.99895,1.0090333000407554
334,PhalangesOutlinesCorrect,threshold=0.001,0.8298368298368298,,16564.0,0.8282,0.88152659998741
335,PhalangesOutlinesCorrect,threshold=0.01,0.824009324009324,,10086.0,0.5043,0.7348221999709494
336,Phoneme,no_selection (baseline),0.2790084388185654,,20000.0,1.0,0.0640580999897793
337,Phoneme,threshold=0.0,0.2790084388185654,,20000.0,1.0,0.0729309999733232
338,Phoneme,threshold=0.001,0.27742616033755274,,19866.0,0.9933,0.08173920004628599
339,Phoneme,threshold=0.01,0.25,,10557.0,0.52785,0.041115699976217
340,PickupGestureWiimoteZ,no_selection (baseline),0.8,,20000.0,1.0,0.01310189999639988
341,PickupGestureWiimoteZ,threshold=0.0,0.8,,19925.0,0.99625,0.01512709999224171
342,PickupGestureWiimoteZ,threshold=0.001,0.82,,17855.0,0.89275,0.014199300028849393
343,PickupGestureWiimoteZ,threshold=0.01,0.8,,15210.0,0.7605,0.012212199973873794
344,PigAirwayPressure,no_selection (baseline),0.7980769230769231,,20000.0,1.0,0.032701599993743
345,PigAirwayPressure,threshold=0.0,0.7980769230769231,,19991.0,0.99955,0.03357870003674179
346,PigAirwayPressure,threshold=0.001,0.8413461538461539,,18045.0,0.90225,0.028197300038300455
347,PigAirwayPressure,threshold=0.01,0.4951923076923077,,12653.0,0.63265,0.02044340001884848
348,PigArtPressure,no_selection (baseline),0.9567307692307693,,20000.0,1.0,0.03306240000529215
349,PigArtPressure,threshold=0.0,0.9567307692307693,,20000.0,1.0,0.03208690002793446
350,PigArtPressure,threshold=0.001,0.9615384615384616,,19387.0,0.96935,0.031679000006988645
351,PigArtPressure,threshold=0.01,0.6153846153846154,,10329.0,0.51645,0.017846499977167696
352,PigCVP,no_selection (baseline),0.9326923076923077,,20000.0,1.0,0.03218300000298768
353,PigCVP,threshold=0.0,0.9326923076923077,,20000.0,1.0,0.035175400029402226
354,PigCVP,threshold=0.001,0.9278846153846154,,19523.0,0.97615,0.030649599968455732
355,PigCVP,threshold=0.01,0.2644230769230769,,10473.0,0.52365,0.017972500005271286
356,Plane,no_selection (baseline),1.0,,20000.0,1.0,0.030190200021024793
357,Plane,threshold=0.0,1.0,,19946.0,0.9973,0.032563599990680814
358,Plane,threshold=0.001,1.0,,15653.0,0.78265,0.02258580003399402
359,Plane,threshold=0.01,1.0,,10434.0,0.5217,0.01618340000277385
360,PowerCons,no_selection (baseline),0.9833333333333333,,20000.0,1.0,0.0532857000362128
361,PowerCons,threshold=0.0,0.9833333333333333,,20000.0,1.0,0.05355279997456819
362,PowerCons,threshold=0.001,0.9833333333333333,,19918.0,0.9959,0.05182829999830574
363,PowerCons,threshold=0.01,0.9777777777777777,,11891.0,0.59455,0.034731100022327155
364,ProximalPhalanxOutlineAgeGroup,no_selection (baseline),0.8439024390243902,,20000.0,1.0,0.1407454000436701
365,ProximalPhalanxOutlineAgeGroup,threshold=0.0,0.8439024390243902,,19742.0,0.9871,0.14597599999979138
366,ProximalPhalanxOutlineAgeGroup,threshold=0.001,0.8634146341463415,,14229.0,0.71145,0.11274280003271997
367,ProximalPhalanxOutlineAgeGroup,threshold=0.01,0.8536585365853658,,8879.0,0.44395,0.08320190000813454
368,ProximalPhalanxOutlineCorrect,no_selection (baseline),0.8934707903780069,,20000.0,1.0,0.26067069999407977
369,ProximalPhalanxOutlineCorrect,threshold=0.0,0.8934707903780069,,19785.0,0.98925,0.24670059996424243
370,ProximalPhalanxOutlineCorrect,threshold=0.001,0.8969072164948454,,14247.0,0.71235,0.2125514000072144
371,ProximalPhalanxOutlineCorrect,threshold=0.01,0.9003436426116839,,9041.0,0.45205,0.15182369999820367
372,ProximalPhalanxTW,no_selection (baseline),0.8048780487804879,,20000.0,1.0,0.1437144000083208
373,ProximalPhalanxTW,threshold=0.0,0.8048780487804879,,19764.0,0.9882,0.14853529998799786
374,ProximalPhalanxTW,threshold=0.001,0.7853658536585366,,14267.0,0.71335,0.1282511000172235
375,ProximalPhalanxTW,threshold=0.01,0.7951219512195122,,8860.0,0.443,0.08254350000061095
376,RefrigerationDevices,no_selection (baseline),0.5386666666666666,,20000.0,1.0,0.15095389995258301
377,RefrigerationDevices,threshold=0.0,0.5386666666666666,,20000.0,1.0,0.16394499997841194
378,RefrigerationDevices,threshold=0.001,0.536,,19996.0,0.9998,0.16421359998639673
379,RefrigerationDevices,threshold=0.01,0.536,,11902.0,0.5951,0.10808480001287535
380,Rock,no_selection (baseline),0.68,,20000.0,1.0,0.006277400010731071
381,Rock,threshold=0.0,0.68,,19996.0,0.9998,0.008245800039730966
382,Rock,threshold=0.001,0.68,,19908.0,0.9954,0.008149700006470084
383,Rock,threshold=0.01,0.78,,14614.0,0.7307,0.00667760003125295
384,ScreenType,no_selection (baseline),0.5173333333333333,,20000.0,1.0,0.14973549998831004
385,ScreenType,threshold=0.0,0.5173333333333333,,20000.0,1.0,0.1632920000120066
386,ScreenType,threshold=0.001,0.5173333333333333,,19995.0,0.99975,0.16245900001376867
387,ScreenType,threshold=0.01,0.49333333333333335,,16320.0,0.816,0.15211359999375418
388,SemgHandGenderCh2,no_selection (baseline),0.8933333333333333,,20000.0,1.0,0.1033058000029996
389,SemgHandGenderCh2,threshold=0.0,0.8933333333333333,,20000.0,1.0,0.1164507000357844
390,SemgHandGenderCh2,threshold=0.001,0.9333333333333333,,12298.0,0.6149,0.0759904999868013
391,SemgHandGenderCh2,threshold=0.01,0.91,,10298.0,0.5149,0.06608199997572228
392,SemgHandMovementCh2,no_selection (baseline),0.6133333333333333,,20000.0,1.0,0.16496920003555715
393,SemgHandMovementCh2,threshold=0.0,0.6133333333333333,,20000.0,1.0,0.17510589997982606
394,SemgHandMovementCh2,threshold=0.001,0.6422222222222222,,12228.0,0.6114,0.11775149998720735
395,SemgHandMovementCh2,threshold=0.01,0.6044444444444445,,10241.0,0.51205,0.1256440000142902
396,SemgHandSubjectCh2,no_selection (baseline),0.8355555555555556,,20000.0,1.0,0.16484320000745356
397,SemgHandSubjectCh2,threshold=0.0,0.8355555555555556,,20000.0,1.0,0.17870340001536533
398,SemgHandSubjectCh2,threshold=0.001,0.8866666666666667,,12296.0,0.6148,0.12059690000023693
399,SemgHandSubjectCh2,threshold=0.01,0.8488888888888889,,10247.0,0.51235,0.12817749998066574
400,ShakeGestureWiimoteZ,no_selection (baseline),0.94,,20000.0,1.0,0.013090699969325215
401,ShakeGestureWiimoteZ,threshold=0.0,0.94,,19996.0,0.9998,0.01566510001430288
402,ShakeGestureWiimoteZ,threshold=0.001,0.92,,19778.0,0.9889,0.015092200017534196
403,ShakeGestureWiimoteZ,threshold=0.01,0.88,,15562.0,0.7781,0.012437500001396984
404,ShapeletSim,no_selection (baseline),1.0,,20000.0,1.0,0.006309200020041317
405,ShapeletSim,threshold=0.0,1.0,,20000.0,1.0,0.008543599979020655
406,ShapeletSim,threshold=0.001,0.6944444444444444,,10531.0,0.52655,0.00538859999505803
407,ShapeletSim,threshold=0.01,0.6944444444444444,,10034.0,0.5017,0.005267200001981109
408,ShapesAll,no_selection (baseline),0.9066666666666666,,20000.0,1.0,0.24595530005171895
409,ShapesAll,threshold=0.0,0.9066666666666666,,19861.0,0.99305,0.25473889999557287
410,ShapesAll,threshold=0.001,0.915,,18866.0,0.9433,0.23656620003748685
411,ShapesAll,threshold=0.01,0.8916666666666667,,11193.0,0.55965,0.18185180000727996
412,SmallKitchenAppliances,no_selection (baseline),0.8213333333333334,,20000.0,1.0,0.15433970000594854
413,SmallKitchenAppliances,threshold=0.0,0.8213333333333334,,20000.0,1.0,0.17254709999542683
414,SmallKitchenAppliances,threshold=0.001,0.8213333333333334,,19805.0,0.99025,0.1555594999808818
415,SmallKitchenAppliances,threshold=0.01,0.7973333333333333,,10642.0,0.5321,0.09850429999642074
416,SmoothSubspace,no_selection (baseline),0.9733333333333334,,20000.0,1.0,0.042396800010465086
417,SmoothSubspace,threshold=0.0,0.9733333333333334,,19968.0,0.9984,0.04347080003935844
418,SmoothSubspace,threshold=0.001,0.9733333333333334,,19849.0,0.99245,0.04207660001702607
419,SmoothSubspace,threshold=0.01,0.9733333333333334,,14648.0,0.7324,0.033092400000896305
420,SonyAIBORobotSurface1,no_selection (baseline),0.9217970049916805,,20000.0,1.0,0.006819000001996756
421,SonyAIBORobotSurface1,threshold=0.0,0.9217970049916805,,19997.0,0.99985,0.008198700030334294
422,SonyAIBORobotSurface1,threshold=0.001,0.9184692179700499,,18814.0,0.9407,0.012478600023314357
423,SonyAIBORobotSurface1,threshold=0.01,0.9334442595673876,,10499.0,0.52495,0.004209999984595925
424,SonyAIBORobotSurface2,no_selection (baseline),0.9244491080797481,,20000.0,1.0,0.008332900004461408
425,SonyAIBORobotSurface2,threshold=0.0,0.9244491080797481,,20000.0,1.0,0.008423399995081127
426,SonyAIBORobotSurface2,threshold=0.001,0.9202518363064008,,19122.0,0.9561,0.008036699960939586
427,SonyAIBORobotSurface2,threshold=0.01,0.9118572927597062,,10385.0,0.51925,0.005257100041490048
428,StarLightCurves,no_selection (baseline),0.9808159300631375,,20000.0,1.0,0.415201399999205
429,StarLightCurves,threshold=0.0,0.9808159300631375,,19741.0,0.98705,0.46989639999810606
430,StarLightCurves,threshold=0.001,0.980330257406508,,17437.0,0.87185,0.4706331000197679
431,StarLightCurves,threshold=0.01,0.9793589120932491,,11638.0,0.5819,0.34999050002079457
432,Strawberry,no_selection (baseline),0.981081081081081,,20000.0,1.0,0.24591509997844696
433,Strawberry,threshold=0.0,0.981081081081081,,19852.0,0.9926,0.2647735000355169
434,Strawberry,threshold=0.001,0.9837837837837838,,14982.0,0.7491,0.20505659998161718
435,Strawberry,threshold=0.01,0.9702702702702702,,9716.0,0.4858,0.16786980000324547
436,SwedishLeaf,no_selection (baseline),0.9616,,20000.0,1.0,0.197888900001999
437,SwedishLeaf,threshold=0.0,0.9616,,19999.0,0.99995,0.19754520000424236
438,SwedishLeaf,threshold=0.001,0.9616,,19347.0,0.96735,0.19351989997085184
439,SwedishLeaf,threshold=0.01,0.9696,,11000.0,0.55,0.13673669996205717
440,Symbols,no_selection (baseline),0.9728643216080402,,20000.0,1.0,0.007769799965899438
441,Symbols,threshold=0.0,0.9728643216080402,,19945.0,0.99725,0.007515100005548447
442,Symbols,threshold=0.001,0.9768844221105528,,18790.0,0.9395,0.0072327000088989735
443,Symbols,threshold=0.01,0.9738693467336683,,16783.0,0.83915,0.006569700024556369
444,SyntheticControl,no_selection (baseline),1.0,,20000.0,1.0,0.11744000000180677
445,SyntheticControl,threshold=0.0,1.0,,20000.0,1.0,0.11740290001034737
446,SyntheticControl,threshold=0.001,1.0,,20000.0,1.0,0.11788610002258793
447,SyntheticControl,threshold=0.01,1.0,,13772.0,0.6886,0.08516020001843572
448,ToeSegmentation1,no_selection (baseline),0.956140350877193,,20000.0,1.0,0.010637800034601241
449,ToeSegmentation1,threshold=0.0,0.956140350877193,,20000.0,1.0,0.012955100042745471
450,ToeSegmentation1,threshold=0.001,0.956140350877193,,19636.0,0.9818,0.011864300002343953
451,ToeSegmentation1,threshold=0.01,0.9473684210526315,,10942.0,0.5471,0.006795499997679144
452,ToeSegmentation2,no_selection (baseline),0.9153846153846154,,20000.0,1.0,0.011893200047779828
453,ToeSegmentation2,threshold=0.0,0.9153846153846154,,20000.0,1.0,0.012898999964818358
454,ToeSegmentation2,threshold=0.001,0.9153846153846154,,19435.0,0.97175,0.011510299984365702
455,ToeSegmentation2,threshold=0.01,0.9,,11026.0,0.5513,0.007485500012990087
456,Trace,no_selection (baseline),1.0,,20000.0,1.0,0.028083600045647472
457,Trace,threshold=0.0,1.0,,19998.0,0.9999,0.030529799987562
458,Trace,threshold=0.001,1.0,,16011.0,0.80055,0.02123409998603165
459,Trace,threshold=0.01,1.0,,12101.0,0.60505,0.016035699984058738
460,TwoLeadECG,no_selection (baseline),0.9991220368744512,,20000.0,1.0,0.008963499974925071
461,TwoLeadECG,threshold=0.0,0.9991220368744512,,19886.0,0.9943,0.007108300051186234
462,TwoLeadECG,threshold=0.001,0.9991220368744512,,14532.0,0.7266,0.005715599982067943
463,TwoLeadECG,threshold=0.01,1.0,,10153.0,0.50765,0.004502299998421222
464,TwoPatterns,no_selection (baseline),1.0,,20000.0,1.0,0.3950897000031546
465,TwoPatterns,threshold=0.0,1.0,,20000.0,1.0,0.43779799999902025
466,TwoPatterns,threshold=0.001,1.0,,19183.0,0.95915,0.42580299999099225
467,TwoPatterns,threshold=0.01,1.0,,10763.0,0.53815,0.33785439998609945
468,UMD,no_selection (baseline),0.9861111111111112,,20000.0,1.0,0.009681100025773048
469,UMD,threshold=0.0,0.9861111111111112,,19847.0,0.99235,0.011789500014856458
470,UMD,threshold=0.001,0.9930555555555556,,16514.0,0.8257,0.01067510002758354
471,UMD,threshold=0.01,0.9791666666666666,,11012.0,0.5506,0.006225100019946694
472,UWaveGestureLibraryAll,no_selection (baseline),0.9754327191513121,,20000.0,1.0,0.3791417999891564
473,UWaveGestureLibraryAll,threshold=0.0,0.9754327191513121,,20000.0,1.0,0.4186805000063032
474,UWaveGestureLibraryAll,threshold=0.001,0.9754327191513121,,19151.0,0.95755,0.40024190000258386
475,UWaveGestureLibraryAll,threshold=0.01,0.9737576772752652,,10522.0,0.5261,0.31604630005313084
476,UWaveGestureLibraryX,no_selection (baseline),0.855108877721943,,20000.0,1.0,0.4076130999601446
477,UWaveGestureLibraryX,threshold=0.0,0.855108877721943,,20000.0,1.0,0.4148451999644749
478,UWaveGestureLibraryX,threshold=0.001,0.8576214405360134,,19269.0,0.96345,0.39959410001756623
479,UWaveGestureLibraryX,threshold=0.01,0.8553880513679508,,13728.0,0.6864,0.3208911999827251
480,UWaveGestureLibraryY,no_selection (baseline),0.7814070351758794,,20000.0,1.0,0.3726450999965891
481,UWaveGestureLibraryY,threshold=0.0,0.7814070351758794,,20000.0,1.0,0.4232888000551611
482,UWaveGestureLibraryY,threshold=0.001,0.7814070351758794,,19027.0,0.95135,0.4245208000065759
483,UWaveGestureLibraryY,threshold=0.01,0.7660524846454495,,14303.0,0.71515,0.3767899999511428
484,UWaveGestureLibraryZ,no_selection (baseline),0.7978782802903406,,20000.0,1.0,0.3991589000215754
485,UWaveGestureLibraryZ,threshold=0.0,0.7978782802903406,,20000.0,1.0,0.41087309998692945
486,UWaveGestureLibraryZ,threshold=0.001,0.798715801228364,,19254.0,0.9627,0.3974084999645129
487,UWaveGestureLibraryZ,threshold=0.01,0.7889447236180904,,13583.0,0.67915,0.3251501999911852
488,Wafer,no_selection (baseline),0.9983776768332252,,20000.0,1.0,0.3841010000323877
489,Wafer,threshold=0.0,0.9983776768332252,,20000.0,1.0,0.4348578000208363
490,Wafer,threshold=0.001,0.9978909798831928,,16831.0,0.84155,0.40790869999909773
491,Wafer,threshold=0.01,0.9983776768332252,,11624.0,0.5812,0.3270652000210248
492,Wine,no_selection (baseline),0.7962962962962963,,20000.0,1.0,0.015522899979259819
493,Wine,threshold=0.0,0.7962962962962963,,19448.0,0.9724,0.01744890003465116
494,Wine,threshold=0.001,0.7592592592592593,,7596.0,0.3798,0.007150599965825677
495,Wine,threshold=0.01,0.7407407407407407,,2621.0,0.13105,0.003887500031851232
496,WordSynonyms,no_selection (baseline),0.7492163009404389,,20000.0,1.0,0.10847520001698285
497,WordSynonyms,threshold=0.0,0.7492163009404389,,19999.0,0.99995,0.09601560002192855
498,WordSynonyms,threshold=0.001,0.7492163009404389,,19676.0,0.9838,0.09364930004812777
499,WordSynonyms,threshold=0.01,0.7225705329153606,,11426.0,0.5713,0.0609483000007458
500,Worms,no_selection (baseline),0.7142857142857143,,20000.0,1.0,0.05217719997745007
501,Worms,threshold=0.0,0.7142857142857143,,20000.0,1.0,0.051802300033159554
502,Worms,threshold=0.001,0.7142857142857143,,19540.0,0.977,0.05140739999478683
503,Worms,threshold=0.01,0.7012987012987013,,15371.0,0.76855,0.03941550001036376
504,WormsTwoClass,no_selection (baseline),0.8051948051948052,,20000.0,1.0,0.051713299995753914
505,WormsTwoClass,threshold=0.0,0.8051948051948052,,20000.0,1.0,0.0545146000222303
506,WormsTwoClass,threshold=0.001,0.8051948051948052,,19585.0,0.97925,0.05104280001251027
507,WormsTwoClass,threshold=0.01,0.7792207792207793,,15332.0,0.7666,0.03925229999003932
508,Yoga,no_selection (baseline),0.9096666666666666,,20000.0,1.0,0.09651450003730133
509,Yoga,threshold=0.0,0.9096666666666666,,19957.0,0.99785,0.11840850004227832
510,Yoga,threshold=0.001,0.9096666666666666,,16380.0,0.819,0.09513430000515655
511,Yoga,threshold=0.01,0.8956666666666667,,10491.0,0.52455,0.06633219996001571
