,dataset,threshold,accuracy_mean,accuracy_std,mean_features_kept,mean_fraction_kept,mean_train_time
32,BeetleFly,no_selection (baseline),0.9,,20000.0,1.0,0.005917200003750622
33,BeetleFly,threshold=0.0,0.9,,19830.0,0.9915,0.007990000012796372
34,BeetleFly,threshold=0.001,0.9,,16048.0,0.8024,0.006838399975094944
35,BeetleFly,threshold=0.01,0.85,,10380.0,0.519,0.005423899972811341
36,BirdChicken,no_selection (baseline),0.9,,20000.0,1.0,0.005879300006199628
37,BirdChicken,threshold=0.0,0.9,,19605.0,0.98025,0.007963399984873831
38,BirdChicken,threshold=0.001,0.9,,16902.0,0.8451,0.007155500003136694
39,BirdChicken,threshold=0.01,0.8,,10010.0,0.5005,0.005061800009571016
40,CBF,no_selection (baseline),1.0,,20000.0,1.0,0.008519999973941594
41,CBF,threshold=0.0,1.0,,20000.0,1.0,0.008733700029551983
42,CBF,threshold=0.001,1.0,,19043.0,0.95215,0.008837999950628728
43,CBF,threshold=0.01,0.9933333333333333,,11975.0,0.59875,0.0058194000157527626
44,Car,no_selection (baseline),0.9,,20000.0,1.0,0.01536429999396205
45,Car,threshold=0.0,0.9,,18760.0,0.938,0.017237399995792657
46,Car,threshold=0.001,0.8833333333333333,,12646.0,0.6323,0.012150400027167052
47,Car,threshold=0.01,0.8833333333333333,,8186.0,0.4093,0.009162500035017729
48,Chinatown,no_selection (baseline),0.9825072886297376,,20000.0,1.0,0.008459099975880235
49,Chinatown,threshold=0.0,0.9825072886297376,,19640.0,0.982,0.009049100044649094
50,Chinatown,threshold=0.001,0.9825072886297376,,19175.0,0.95875,0.006845500029157847
51,Chinatown,threshold=0.01,0.9795918367346939,,11159.0,0.55795,0.006970499991439283
52,ChlorineConcentration,no_selection (baseline),0.8231770833333333,,20000.0,1.0,0.14820850000251085
53,ChlorineConcentration,threshold=0.0,0.8231770833333333,,20000.0,1.0,0.19987859996035695
54,ChlorineConcentration,threshold=0.001,0.8296875,,19256.0,0.9628,0.1985768000013195
55,ChlorineConcentration,threshold=0.01,0.79765625,,10184.0,0.5092,0.1201858000131324
56,CinCECGTorso,no_selection (baseline),0.8326086956521739,,20000.0,1.0,0.009411900013219565
57,CinCECGTorso,threshold=0.0,0.8326086956521739,,19998.0,0.9999,0.010921499982941896
58,CinCECGTorso,threshold=0.001,0.8442028985507246,,17126.0,0.8563,0.009369799983687699
59,CinCECGTorso,threshold=0.01,0.8565217391304348,,10670.0,0.5335,0.006753999972715974
60,Coffee,no_selection (baseline),1.0,,20000.0,1.0,0.010375500016380101
61,Coffee,threshold=0.0,1.0,,19779.0,0.98895,0.011667500017210841
62,Coffee,threshold=0.001,1.0,,10538.0,0.5269,0.008021899964660406
63,Coffee,threshold=0.01,1.0,,9366.0,0.4683,0.006702500046230853
64,Computers,no_selection (baseline),0.764,,20000.0,1.0,0.1142280999920331
65,Computers,threshold=0.0,0.764,,20000.0,1.0,0.08782159996917471
66,Computers,threshold=0.001,0.764,,19996.0,0.9998,0.08800950000295416
67,Computers,threshold=0.01,0.752,,15621.0,0.78105,0.07036640000296757
68,CricketX,no_selection (baseline),0.8205128205128205,,20000.0,1.0,0.14867409999715164
69,CricketX,threshold=0.0,0.8205128205128205,,20000.0,1.0,0.14104189997306094
70,CricketX,threshold=0.001,0.8179487179487179,,19590.0,0.9795,0.14437959995120764
71,CricketX,threshold=0.01,0.7948717948717948,,11673.0,0.58365,0.11044809996383265
72,CricketY,no_selection (baseline),0.8512820512820513,,20000.0,1.0,0.13071170001057908
73,CricketY,threshold=0.0,0.8512820512820513,,20000.0,1.0,0.139397100021597
